1	1	24	2	43	2	0	0	47	2	46	2	21	2	59	2	58	2	39	2	36	2	44	2	48	2	53	2	38	2	2	2
26	1	88	1	81	1	0	0	0	0	253	3	252	2	194	0	181	3	139	3	69	0	209	3	78	3	79	1	214	2	22	3
15	1	131	1	142	2	172	1	204	0	0	0	244	3	187	2	169	3	138	0	75	2	224	1	137	3	147	1	149	1	11	3
5	1	90	1	108	3	114	1	66	3	82	1	0	0	246	1	128	0	160	2	186	3	188	1	72	3	97	1	237	0	42	3
7	1	109	0	182	2	0	0	140	2	159	2	233	2	208	3	135	2	99	0	167	1	219	1	152	3	151	1	234	2	10	3
8	1	104	2	119	1	103	3	107	1	228	3	0	0	150	3	155	1	70	2	148	0	193	1	115	0	125	3	129	1	45	3
56	1	256	1	203	0	0	0	0	0	245	1	164	0	238	2	243	2	211	2	157	2	156	0	110	2	200	1	118	0	14	3
34	1	120	3	0	0	145	2	0	0	197	1	0	0	251	1	196	3	201	1	206	0	141	2	174	1	218	2	102	2	50	3
41	1	226	3	168	3	106	0	230	2	0	0	89	1	178	1	227	3	231	1	185	2	210	3	217	1	93	3	86	1	13	3
32	1	229	0	239	2	136	2	154	3	158	1	0	0	161	1	171	1	199	0	198	0	241	0	250	2	98	3	85	1	52	3
33	1	91	0	101	3	127	1	189	1	212	3	0	0	122	1	180	1	184	2	191	2	240	2	113	3	133	1	183	1	18	3
20	1	77	2	123	2	68	3	76	1	192	1	0	0	80	0	254	3	255	1	220	2	222	0	215	2	87	0	130	3	51	3
19	1	176	3	165	1	146	0	111	3	124	1	0	0	100	2	117	3	134	1	225	1	205	3	166	0	64	2	162	1	17	3
25	1	132	0	177	3	61	3	62	0	0	0	95	0	121	3	116	1	248	3	173	3	144	0	175	2	73	2	74	0	31	3
6	1	63	0	112	0	84	2	71	2	96	2	94	2	242	0	232	2	94	0	249	2	143	2	170	1	105	3	67	2	16	3
3	0	27	0	28	0	29	0	30	0	0	0	54	0	40	0	23	0	49	0	55	0	57	0	12	0	37	0	9	0	4	3
